"","date.local","location","value","unit","country"
"6024","2016-01-31T16:00:00-03:00","Valparaiso",1.687,"µg/m³","CL"
"6025","2016-01-31T20:00:00+01:00","Rotterdam-Oost Sidelinge A13",7.1125,"µg/m³","NL"
"6026","2016-01-31T20:00:00+01:00","De Zilk-Vogelaarsdreef",4.14084875,"µg/m³","NL"
"6027","2016-01-31T20:00:00+01:00","Hilversum-J. Gerardtsweg",3.07922,"µg/m³","NL"
"6028","2016-01-31T20:00:00+01:00","Maastricht-A2 Kasteel Hillenraadweg",7.56521739130435,"µg/m³","BE"
"6029","2016-01-31T19:00:00+00:00","Haringey Roadside",9,"µg/m³","GB"
"6030","2016-01-31T19:00:00+00:00","Harrow - Stanmore",4,"µg/m³","GB"
"6031","2016-02-01T03:00:00+08:00","Chengdu",95,"µg/m³","CN"
"6032","2016-02-01T03:00:00+08:00","Shanghai",34,"µg/m³","CN"
"6033","2016-01-31T19:00:00+00:00","London Bloomsbury",4,"µg/m³","GB"
"6034","2016-01-31T19:00:00+00:00","Camden Kerbside",6,"µg/m³","GB"
"6035","2016-01-31T19:00:00+00:00","Bexley - Slade Green",3,"µg/m³","GB"
"6036","2016-01-31T19:00:00+00:00","London Teddington Bushy Park",2,"µg/m³","GB"
"6037","2016-01-31T19:00:00+00:00","London Harlington",8,"µg/m³","GB"
"6038","2016-01-31T13:00:00-06:00","Houston Deer Park C3",15,"µg/m³","US"
"6039","2016-01-31T20:00:00+01:00","Botlek-Spoortunnel",-999,"µg/m³","NL"
"6040","2016-01-31T16:00:00-03:00","Los Ángeles Oriente",15.6,"µg/m³","CL"
"6041","2016-01-31T16:00:00-03:00","Quilicura",11,"µg/m³","CL"
"6042","2016-01-31T16:00:00-03:00","Puren",6.804,"µg/m³","CL"
"6043","2016-01-31T16:00:00-03:00","Museo Ferroviario",1,"µg/m³","CL"
"6044","2016-01-31T16:00:00-03:00","Parque O'Higgins",14,"µg/m³","CL"
"6045","2016-01-31T16:00:00-03:00","Punta Arenas",2.724,"µg/m³","CL"
"6046","2016-01-31T16:00:00-03:00","Huasco Sivica",1,"µg/m³","CL"
"6047","2016-01-31T16:00:00-03:00","Las Encinas Temuco",1.362,"µg/m³","CL"
"6048","2016-01-31T16:00:00-03:00","La Serena",3.867,"µg/m³","CL"
"6049","2016-01-31T16:00:00-03:00","Copiapo Sivica",1,"µg/m³","CL"
"6050","2016-01-31T16:00:00-03:00","INIA, Chillán",25.5,"µg/m³","CL"
"6051","2016-01-31T16:00:00-03:00","Sierra Gorda ",7,"µg/m³","CL"
"6052","2016-01-31T16:00:00-03:00","Rancagua II",10.49,"µg/m³","CL"
"6053","2016-01-31T16:00:00-03:00","Coyhaique II",1,"µg/m³","CL"
